날짜,요일,인원,데이터기준일자
2018-09-27,목,1397,2021-08-27
2018-09-28,금,1573,2021-08-27
2018-09-29,토,2829,2021-08-27
2018-09-30,일,2877,2021-08-27
2018-10-01,월,1377,2021-08-27
2018-10-02,화,2653,2021-08-27
2018-10-03,수,4688,2021-08-27
2018-10-04,목,1450,2021-08-27
2018-10-05,금,1567,2021-08-27
2018-10-06,토,1678,2021-08-27
2018-10-07,일,5937,2021-08-27
2018-10-08,월,2546,2021-08-27
2018-10-09,화,5305,2021-08-27
2018-10-10,수,2512,2021-08-27
2018-10-11,목,1597,2021-08-27
2018-10-12,금,2122,2021-08-27
2018-10-13,토,4456,2021-08-27
2018-10-14,일,4995,2021-08-27
2018-10-15,월,1935,2021-08-27
2018-10-16,화,2008,2021-08-27
2018-10-17,수,2191,2021-08-27
2018-10-18,목,2049,2021-08-27
2018-10-19,금,2677,2021-08-27
2018-10-20,토,5759,2021-08-27
2018-10-21,일,5017,2021-08-27
2018-10-22,월,1724,2021-08-27
2018-10-23,화,2767,2021-08-27
2018-10-24,수,2239,2021-08-27
2018-10-25,목,3320,2021-08-27
2018-10-26,금,2864,2021-08-27
2018-10-27,토,6266,2021-08-27
2018-10-28,일,6479,2021-08-27
2018-10-29,월,2507,2021-08-27
2018-10-30,화,2539,2021-08-27
2018-10-31,수,3102,2021-08-27
2018-11-01,목,2749,2021-08-27
2018-11-02,금,3812,2021-08-27
2018-11-03,토,7797,2021-08-27
2018-11-04,일,6093,2021-08-27
2018-11-05,월,3035,2021-08-27
2018-11-06,화,2136,2021-08-27
2018-11-07,수,2395,2021-08-27
2018-11-08,목,1647,2021-08-27
2018-11-09,금,2479,2021-08-27
2018-11-10,토,3814,2021-08-27
2018-11-11,일,5369,2021-08-27
2018-11-12,월,2921,2021-08-27
2018-11-13,화,2223,2021-08-27
2018-11-14,수,1890,2021-08-27
2018-11-15,목,1291,2021-08-27
2018-11-16,금,1786,2021-08-27
2018-11-17,토,3178,2021-08-27
2018-11-18,일,3045,2021-08-27
2018-11-19,월,995,2021-08-27
2018-11-20,화,1623,2021-08-27
2018-11-21,수,1207,2021-08-27
2018-11-22,목,1394,2021-08-27
2018-11-23,금,1064,2021-08-27
2018-11-24,토,1251,2021-08-27
2018-11-25,일,3800,2021-08-27
2018-11-26,월,1112,2021-08-27
2018-11-27,화,986,2021-08-27
2018-11-28,수,1253,2021-08-27
2018-11-29,목,528,2021-08-27
2018-11-30,금,1904,2021-08-27
2018-12-01,토,2848,2021-08-27
2018-12-02,일,2884,2021-08-27
2018-12-03,월,1604,2021-08-27
2018-12-04,화,1847,2021-08-27
2018-12-05,수,628,2021-08-27
2018-12-06,목,1092,2021-08-27
2018-12-07,금,694,2021-08-27
2018-12-08,토,1674,2021-08-27
2018-12-09,일,1384,2021-08-27
2018-12-10,월,1138,2021-08-27
2018-12-11,화,268,2021-08-27
2018-12-12,수,884,2021-08-27
2018-12-13,목,689,2021-08-27
2018-12-14,금,999,2021-08-27
2018-12-15,토,1878,2021-08-27
2018-12-16,일,1646,2021-08-27
2018-12-17,월,1078,2021-08-27
2018-12-18,화,424,2021-08-27
2018-12-19,수,383,2021-08-27
2018-12-20,목,687,2021-08-27
2018-12-21,금,953,2021-08-27
2018-12-22,토,1763,2021-08-27
2018-12-23,일,2076,2021-08-27
2018-12-24,월,774,2021-08-27
2018-12-25,화,2133,2021-08-27
2018-12-26,수,799,2021-08-27
2018-12-27,목,467,2021-08-27
2018-12-28,금,910,2021-08-27
2018-12-29,토,1349,2021-08-27
2018-12-30,일,2229,2021-08-27
2018-12-31,월,1927,2021-08-27
2019-01-01,화,"2,330",2021-08-27
2019-01-02,수,"1,034",2021-08-27
2019-01-03,목,704,2021-08-27
2019-01-04,금,570,2021-08-27
2019-01-05,토,"1,755",2021-08-27
2019-01-06,일,"2,200",2021-08-27
2019-01-07,월,956,2021-08-27
2019-01-08,화,827,2021-08-27
2019-01-09,수,838,2021-08-27
2019-01-10,목,456,2021-08-27
2019-01-11,금,707,2021-08-27
2019-01-12,토,"1,587",2021-08-27
2019-01-13,일,"3,418",2021-08-27
2019-01-14,월,580,2021-08-27
2019-01-15,화,811,2021-08-27
2019-01-16,수,652,2021-08-27
2019-01-17,목,752,2021-08-27
2019-01-18,금,626,2021-08-27
2019-01-19,토,"2,939",2021-08-27
2019-01-20,일,"2,096",2021-08-27
2019-01-21,월,"1,085",2021-08-27
2019-01-22,화,"1,354",2021-08-27
2019-01-23,수,487,2021-08-27
2019-01-24,목,991,2021-08-27
2019-01-25,금,660,2021-08-27
2019-01-26,토,"1,445",2021-08-27
2019-01-27,일,"2,649",2021-08-27
2019-01-28,월,621,2021-08-27
2019-01-29,화,732,2021-08-27
2019-01-30,수,622,2021-08-27
2019-01-31,목,394,2021-08-27
2019-02-01,금,373,2021-08-27
2019-02-02,토,"1,760",2021-08-27
2019-02-03,일,"1,446",2021-08-27
2019-02-04,월,"5,975",2021-08-27
2019-02-05,화,"8,676",2021-08-27
2019-02-06,수,"6,479",2021-08-27
2019-02-07,목,666,2021-08-27
2019-02-08,금,719,2021-08-27
2019-02-09,토,"1,671",2021-08-27
2019-02-10,일,"1,793",2021-08-27
2019-02-11,월,363,2021-08-27
2019-02-12,화,569,2021-08-27
2019-02-13,수,562,2021-08-27
2019-02-14,목,944,2021-08-27
2019-02-15,금,675,2021-08-27
2019-02-16,토,"1,809",2021-08-27
2019-02-17,일,"1,824",2021-08-27
2019-02-18,월,510,2021-08-27
2019-02-19,화,372,2021-08-27
2019-02-20,수,553,2021-08-27
2019-02-21,목,"1,064",2021-08-27
2019-02-22,금,746,2021-08-27
2019-02-23,토,"2,665",2021-08-27
2019-02-24,일,"3,292",2021-08-27
2019-02-25,월,809,2021-08-27
2019-02-26,화,"1,312",2021-08-27
2019-02-27,수,785,2021-08-27
2019-02-28,목,"1,451",2021-08-27
2019-03-01,금,"8,684",2021-08-27
2019-03-02,토,"6,608",2021-08-27
2019-03-03,일,"2,873",2021-08-27
2019-03-04,월,672,2021-08-27
2019-03-05,화,798,2021-08-27
2019-03-06,수,612,2021-08-27
2019-03-07,목,668,2021-08-27
2019-03-08,금,677,2021-08-27
2019-03-09,토,"3,094",2021-08-27
2019-03-10,일,"1,673",2021-08-27
2019-03-11,월,680,2021-08-27
2019-03-12,화,659,2021-08-27
2019-03-13,수,803,2021-08-27
2019-03-14,목,897,2021-08-27
2019-03-15,금,"1,145",2021-08-27
2019-03-16,토,"4,012",2021-08-27
2019-03-17,일,"5,396",2021-08-27
2019-03-18,월,"1,204",2021-08-27
2019-03-19,화,"1,601",2021-08-27
2019-03-20,수,900,2021-08-27
2019-03-21,목,"1,269",2021-08-27
2019-03-22,금,"1,220",2021-08-27
2019-03-23,토,"4,131",2021-08-27
2019-03-24,일,"5,614",2021-08-27
2019-03-25,월,987,2021-08-27
2019-03-26,화,"1,209",2021-08-27
2019-03-27,수,"1,299",2021-08-27
2019-03-28,목,"1,935",2021-08-27
2019-03-29,금,"2,351",2021-08-27
2019-03-30,토,"5,495",2021-08-27
2019-03-31,일,"4,879",2021-08-27
2019-04-01,월,"2,084",2021-08-27
2019-04-02,화,"2,198",2021-08-27
2019-04-03,수,"2,725",2021-08-27
2019-04-04,목,"2,715",2021-08-27
2019-04-05,금,"2,708",2021-08-27
2019-04-06,토,"8,238",2021-08-27
2019-04-07,일,"5,315",2021-08-27
2019-04-08,월,"1,986",2021-08-27
2019-04-09,화,"2,269",2021-08-27
2019-04-10,수,"1,946",2021-08-27
2019-04-11,목,"2,310",2021-08-27
2019-04-12,금,"2,348",2021-08-27
2019-04-13,토,"6,590",2021-08-27
2019-04-14,일,"3,657",2021-08-27
2019-04-15,월,"1,849",2021-08-27
2019-04-16,화,"1,673",2021-08-27
2019-04-17,수,"2,196",2021-08-27
2019-04-18,목,"2,270",2021-08-27
2019-04-19,금,"1,911",2021-08-27
2019-04-20,토,"4,598",2021-08-27
2019-04-21,일,"4,671",2021-08-27
2019-04-22,월,"1,654",2021-08-27
2019-04-23,화,"1,487",2021-08-27
2019-04-24,수,"2,523",2021-08-27
2019-04-25,목,"2,665",2021-08-27
2019-04-26,금,"2,073",2021-08-27
2019-04-27,토,"6,039",2021-08-27
2019-04-28,일,"5,600",2021-08-27
2019-04-29,월,"1,270",2021-08-27
2019-04-30,화,"2,797",2021-08-27
2019-05-01,수,"4,475",2021-08-27
2019-05-02,목,"3,178",2021-08-27
2019-05-03,금,"2,967",2021-08-27
2019-05-04,토,"8,563",2021-08-27
2019-05-05,일,"15,170",2021-08-27
2019-05-06,월,"8,859",2021-08-27
2019-05-07,화,"3,504",2021-08-27
2019-05-08,수,"16,893",2021-08-27
2019-05-09,목,"20,629",2021-08-27
2019-05-10,금,"16,303",2021-08-27
2019-05-11,토,"30,309",2021-08-27
2019-05-12,일,"27,626",2021-08-27
2019-05-13,월,"2,984",2021-08-27
2019-05-14,화,"2,776",2021-08-27
2019-05-15,수,"3,261",2021-08-27
2019-05-16,목,"2,856",2021-08-27
2019-05-17,금,"3,299",2021-08-27
2019-05-18,토,"4,576",2021-08-27
2019-05-19,일,"5,092",2021-08-27
2019-05-20,월,"1,724",2021-08-27
2019-05-21,화,"2,007",2021-08-27
2019-05-22,수,"2,151",2021-08-27
2019-05-23,목,"3,233",2021-08-27
2019-05-24,금,"2,645",2021-08-27
2019-05-25,토,"6,308",2021-08-27
2019-05-26,일,"6,139",2021-08-27
2019-05-27,월,948,2021-08-27
2019-05-28,화,"3,100",2021-08-27
2019-05-29,수,"3,088",2021-08-27
2019-05-30,목,"2,073",2021-08-27
2019-05-31,금,"1,640",2021-08-27
2019-06-01,토,"4,301",2021-08-27
2019-06-02,일,"3,978",2021-08-27
2019-06-03,월,"1,539",2021-08-27
2019-06-04,화,"1,618",2021-08-27
2019-06-05,수,"1,464",2021-08-27
2019-06-06,목,"4,205",2021-08-27
2019-06-07,금,"4,260",2021-08-27
2019-06-08,토,"6,138",2021-08-27
2019-06-09,일,"4,431",2021-08-27
2019-06-10,월,"1,149",2021-08-27
2019-06-11,화,"1,177",2021-08-27
2019-06-12,수,"1,165",2021-08-27
2019-06-13,목,"1,694",2021-08-27
2019-06-14,금,"1,745",2021-08-27
2019-06-15,토,"3,775",2021-08-27
2019-06-16,일,"3,586",2021-08-27
2019-06-17,월,"1,156",2021-08-27
2019-06-18,화,"1,060",2021-08-27
2019-06-19,수,"1,372",2021-08-27
2019-06-20,목,"1,481",2021-08-27
2019-06-21,금,"1,813",2021-08-27
2019-06-22,토,"3,392",2021-08-27
2019-06-23,일,"3,635",2021-08-27
2019-06-24,월,"1,261",2021-08-27
2019-06-25,화,"1,214",2021-08-27
2019-06-26,수,760,2021-08-27
2019-06-27,목,"1,359",2021-08-27
2019-06-28,금,"1,485",2021-08-27
2019-06-29,토,"2,407",2021-08-27
2019-06-30,일,"3,297",2021-08-27
2019-07-01,월,998,2021-08-27
2019-07-02,화,"1,124",2021-08-27
2019-07-03,수,"1,285",2021-08-27
2019-07-04,목,"1,034",2021-08-27
2019-07-05,금,"2,783",2021-08-27
2019-07-06,토,"3,016",2021-08-27
2019-07-07,일,"2,411",2021-08-27
2019-07-08,월,674,2021-08-27
2019-07-09,화,717,2021-08-27
2019-07-10,수,527,2021-08-27
2019-07-11,목,638,2021-08-27
2019-07-12,금,"1,035",2021-08-27
2019-07-13,토,"2,934",2021-08-27
2019-07-14,일,"3,430",2021-08-27
2019-07-15,월,"1,252",2021-08-27
2019-07-16,화,"1,822",2021-08-27
2019-07-17,수,"1,231",2021-08-27
2019-07-18,목,"1,607",2021-08-27
