전시회 개최년도,전시회 한글명,전시회 영문 약칭명,전시회 영문명 전체명 ,전시회 분류,전시회 개최주기,전시회 개최국가,전시회 개최도시,전시회 개최건물,전시 분야,전시 품목,전시회 시작일,전시회 종료일,총 참가국 수,총 참가업체,참가규모 부스 수,참가규모 업체 수,국내참가 기업수,한국참가 주관단체명,한국참가 주관단체 주소,전시회 모집기간 시작일,전시회 모집기간 종료 일
2017,2017 홍콩 제15회 메가쇼케이스,Hong Kong Mega Showcase,15th Hong Kong Mega Showcase,기타,매년,홍콩,홍콩,HKCEC,종합소비재,가죽제품. 공예품. 의류. 쥬얼리. 화장품. 건강용품. 미용제품. 신발 등 종합 소비재,2017-12-24,2017-12-27,15,650,11,10,10,한국의류판매업협동조합연합회,서울특별시 성동구 무학로6길 3 (홍익동)신라빌딩 3층,2017-08-01,2017-12-23
2017,중국 국제 스포츠용품 박람회,China Sport Show,China International Spoting Goods Show,기타,매년,중국,상해,상하이컨벤션센타,스포츠용품 헬스기구 구기운동용품,"헬스기구, 구기운동용품 등",2017-05-23,2017-05-25,60,1076,11,10,20,대한스포츠용구공업협동조합,"서울 영등포구 63로 40, 라이프오피스텔 814호",2017-05-23,2017-09-25
2017,2017 일본 도쿄 재팬크리에이션(JFW 2018),JFW Japan creation 2018,JFW Japan creation 2018,기타,매년,일본,동경,Tokyo International Forum,섬유소재 전반,직물. 니트. 레이스. 기능성 소재. 부자재 등 섬유소재 전반,2017-11-28,2017-11-29,4,270,15,14,13,한국섬유산업연합회,서울 강남구 대치2동 섬유센터 16층  한국섬유산업연합회,2017-05-20,2017-05-30
2017,2017 중국 북경 식품가공 및 포장기계 전시회,China Foodtech 2017,15th China International Food Processing and Packaging Machinery Exhibition,기타,격년,중국,북경,OLD CIEC,포장,"식품생산공정기계, 제조기계, 식품포장기계, 데코레이션 기계, 프린팅 기계, 포장지 제조기계, 포장공정기계, 약품포장기계, 일반기계",2017-11-01,2017-11-03,30,345,11,10,274,한국포장수출입협회,서울강남구삼성동107  미켈란 107-804,2017-02-01,2017-07-31
2017,2017 베트남 호치민 포장 전시회,VNPRINTPACK 2017,The 17th Vietnam Int'l Printing & Packaging Industry Exhibition,기타,매년,베트남,호치민,SECC,포장,패키징 프린팅,2017-09-30,2017-10-03,12,230,11,10,200,한국포장수출입협회,서울강남구삼성동107  미켈란 107-804,2017-02-01,2017-05-31
2017,2017 일본 국제 전자전,CEATEC Japan,Cutting-Edge IT&Electronics Comprehensice Exhibition,기타,매년,일본,도쿄,마쿠하리메세,IT 전자제품 총망라,"개인용 디지털 기기,  Key Technologies Stage 등",2017-10-03,2017-10-06,42,531,11,10,11,한국정보기술연구원,"서울 구로구 디지털로34길, 43 코오롱싸이언스밸리1차 401호",2017-01-01,2018-01-02
2017,필리핀 국제 물산업 전시회 2017,WATER PHILIPPINES EXPO 2017,WATER PHILIPPINES EXPO 2017,기타,격년,필리핀,마닐라,SMX Convention Center,"수자원 및 하루처리 설비, 폐수처리 및 물재생, 자연정화 시스템","수자원 관리, 도시 용수 관리, 폐수 처리 및 관리, 공업용수 및 폐수 처리, 생수 생산, 하수도, 관개, 빗물 수집장치 및 관리, 입자분리, 소독 및 오염 정화 기술, 하수 처리 시설, 도시 폐수 처리 등 물 산업 관련 원부자재 및 설비 기술 일체",2017-03-22,2017-03-24,30,350,10,10,10,한국펌프공업협동조합,경기도 파주시 탄현면 문지리 617,2016-12-01,2016-12-31
2017,중국 상해 동력전달제어기술전,PTC-ASIA,Power Transmission and Control Asia,기타,매년,중국,상해,신국제전람중심(SNIEC),기계류 전반,"동력전달, 유공압기계, 베어링, 체인, 벨트, 카플링, 밸브 등",2017-10-31,2017-11-03,28,1575,16,10,11,한국기계산업진흥회,150-729 서울시 영등포구 은행로 37(여의도동) 기계회관 본관 9층,2017-09-01,2017-09-30
2017,말레이시아 쿠알라룸푸르 국제기계전,MTM,Metaltech Malaysia,기타,매년,말레이지아,쿠알라룸푸르,푸트라세계무역센터,기계류 전반,"공작기계, 계측기술, 금형, 판금기술, 열처리, 용접 등",2017-05-24,2017-05-27,38,1297,12,12,16,한국기계산업진흥회,150-729 서울시 영등포구 은행로 37(여의도동) 기계회관 본관 9층,2017-01-22,2017-03-03
2017,"중국 정수, 수처리 전시회 2017",AQUATECH CHINA 2017,AQUATECH CHINA 2017,기타,매년,중국,상해,National Exhibition and Conference Center,"산업용, 가정용 정수관련 제품, 운송 및 기술","정수기, 연수기, 설비, 정수기부품등",2017-06-07,2017-06-09,89,2303,11,11,344,한국정수기공업협동조합,서울 서초구 방배동  816-18  정수회관 1층,2017-02-20,2017-02-24
